"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
20,"2021-11-06, 13:00","Džiugas","1 : 5","Džiugas","2021-11-06, 13:00	 	Džiugas
	1 : 5	
K. Žalgiris	Telšių m. centrinis stadionas","Džiugas","K. Žalgiris"
21,"2021-11-05, 18:00","Riteriai","1 : 2","Panevėžys","2021-11-05, 18:00	 	Riteriai
	1 : 2	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
22,,,,,"29 turas",,
23,"2021-11-03, 18:00","Žalgiris","2 : 2","Žalgiris","2021-11-03, 18:00	 	Sūduva
	2 : 2	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
24,,,,,"33 turas",,
25,"2021-10-31, 15:00","Panevėžys","2 : 2","Džiugas","2021-10-31, 15:00	 	Panevėžys
	2 : 2	
Džiugas	„Aukštaitijos“ stadionas","Panevėžys","Džiugas"
26,"2021-10-31, 13:00","K. Žalgiris","2 : 0","Dainava","2021-10-31, 13:00	 	K. Žalgiris
	2 : 0	
Dainava	LFF Kauno treniruočių centro st.","Dainava","K. Žalgiris"
27,"2021-10-30, 19:00","Žalgiris","2 : 1","Hegelmann","2021-10-30, 19:00	 	Žalgiris
	2 : 1	
Hegelmann	LFF stadionas","Žalgiris","Hegelmann"
28,"2021-10-30, 13:00","Nevėžis","0 : 3","Sūduva","2021-10-30, 13:00	 	Nevėžis
	0 : 3	
Sūduva	Kėdainių centrinis stadionas","Nevėžis","Sūduva"
29,"2021-10-29, 18:00","Riteriai","0 : 0","Banga","2021-10-29, 18:00	 	Riteriai
	0 : 0	
Banga	LFF stadionas","Riteriai","Banga"
30,,,,,"20 turas",,
31,"2021-10-27, 20:00","Žalgiris","3 : 2","Sūduva","2021-10-27, 20:00	 	Žalgiris
	3 : 2	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
32,"2021-10-27, 18:00","K. Žalgiris","1 : 1","Panevėžys","2021-10-27, 18:00	 	K. Žalgiris
	1 : 1	
Panevėžys	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
33,,,,,"23 turas",,
34,"2021-10-24, 17:00","Dainava","3 : 2","Džiugas","2021-10-24, 17:00	 	Dainava
	3 : 2	
Džiugas	Alytaus m. stadionas","Dainava","Džiugas"
35,,,,,"25 turas",,
36,"2021-10-20, 18:00","K. Žalgiris","0 : 1","Džiugas","2021-10-20, 18:00	 	K. Žalgiris
	0 : 1	
Džiugas	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
37,,,,,"32 turas",,
38,"2021-10-18, 17:00","Žalgiris","1 : 3","Žalgiris","2021-10-18, 17:00	 	Nevėžis
	1 : 3	
Žalgiris	Kėdainių centrinis stadionas","Nevėžis","Žalgiris"
39,"2021-10-17, 15:00","Banga","2 : 1","Panevėžys","2021-10-17, 15:00	 	Banga
	2 : 1	
Panevėžys	Gargždų m. stadionas","Banga","Panevėžys"
40,"2021-10-16, 15:00","Džiugas","1 : 1","Džiugas","2021-10-16, 15:00	 	Džiugas
	1 : 1	
Dainava	Telšių m. centrinis stadionas","Dainava","Dainava"
41,"2021-10-16, 13:00","Hegelmann","1 : 2","K. Žalgiris","2021-10-16, 13:00	 	Hegelmann
	1 : 2	
K. Žalgiris	LFF Kauno treniruočių centro st.","Hegelmann","K. Žalgiris"
42,"2021-10-15, 18:00","Sūduva","1 : 1","Riteriai","2021-10-15, 18:00	 	Sūduva
	1 : 1	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
43,,,,,"23 turas",,
44,"2021-10-14, 19:00","Žalgiris","6 : 0","Nevėžis","2021-10-14, 19:00	 	Žalgiris
	6 : 0	
Nevėžis	LFF stadionas","Žalgiris","Nevėžis"
45,,,,,"31 turas",,
46,"2021-10-03, 15:00","Žalgiris","0 : 3","Žalgiris","2021-10-03, 15:00	 	Banga
	0 : 3	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
47,"2021-10-03, 13:00","Panevėžys","1 : 1","Sūduva","2021-10-03, 13:00	 	Panevėžys
	1 : 1	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Sūduva"
48,"2021-10-02, 15:00","Dainava","1 : 1","Hegelmann","2021-10-02, 15:00	 	Dainava
	1 : 1	
Hegelmann	Alytaus m. stadionas","Dainava","Hegelmann"
49,"2021-10-02, 13:00","Nevėžis","1 : 1","Džiugas","2021-10-02, 13:00	 	Nevėžis
	1 : 1	
Džiugas	Kėdainių centrinis stadionas","Nevėžis","Džiugas"
50,"2021-10-01, 18:00","Riteriai","0 : 0","K. Žalgiris","2021-10-01, 18:00	 	Riteriai
	0 : 0	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
51,,,,,"30 turas",,
52,"2021-09-26, 15:00","Sūduva","4 : 0","Banga","2021-09-26, 15:00	 	Sūduva
	4 : 0	
Banga	Marijampolės futbolo arenos stadionas","Sūduva","Banga"
53,"2021-09-26, 13:00","Hegelmann","1 : 1","Džiugas","2021-09-26, 13:00	 	Hegelmann
	1 : 1	
Džiugas	LFF Kauno treniruočių centro st.","Hegelmann","Džiugas"
54,"2021-09-25, 19:00","Žalgiris","1 : 1","Riteriai","2021-09-25, 19:00	 	Žalgiris
	1 : 1	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
55,"2021-09-25, 13:00","K. Žalgiris","2 : 0","Nevėžis","2021-09-25, 13:00	 	K. Žalgiris
	2 : 0	
Nevėžis	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
56,"2021-09-24, 18:00","Panevėžys","0 : 0","Dainava","2021-09-24, 18:00	 	Panevėžys
	0 : 0	
Dainava	„Aukštaitijos“ stadionas","Dainava","Dainava"
57,,,,,"27 turas",,
58,"2021-09-19, 15:00","Riteriai","4 : 0","Nevėžis","2021-09-19, 15:00	 	Riteriai
	4 : 0	
Nevėžis	LFF stadionas","Riteriai","Nevėžis"
59,"2021-09-19, 13:00","Hegelmann","1 : 0","Panevėžys","2021-09-19, 13:00	 	Hegelmann
	1 : 0	
Panevėžys	LFF Kauno treniruočių centro st.","Hegelmann","Panevėžys"
60,"2021-09-18, 17:00","Banga","2 : 3","K. Žalgiris","2021-09-18, 17:00	 	Banga
	2 : 3	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
61,"2021-09-18, 15:00","Žalgiris","2 : 1","Džiugas","2021-09-18, 15:00	 	Džiugas
	2 : 1	
Žalgiris	Telšių m. centrinis stadionas","Džiugas","Žalgiris"
62,"2021-09-17, 18:00","Dainava","1 : 2","Sūduva","2021-09-17, 18:00	 	Dainava
	1 : 2	
Sūduva	Alytaus m. stadionas","Dainava","Sūduva"
63,,,,,"28 turas",,
64,"2021-09-15, 19:00","Žalgiris","1 : 1","Žalgiris","2021-09-15, 19:00	 	Panevėžys
	1 : 1	
Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Žalgiris"
65,,,,,"26 turas",,
66,"2021-09-12, 19:00","Žalgiris","0 : 2","Žalgiris","2021-09-12, 19:00	 	K. Žalgiris
	0 : 2	
Žalgiris	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
67,"2021-09-12, 17:00","Dainava","3 : 1","Banga","2021-09-12, 17:00	 	Dainava
	3 : 1	
Banga	Alytaus m. stadionas","Dainava","Banga"
68,"2021-09-11, 19:00","Nevėžis","1 : 3","Panevėžys","2021-09-11, 19:00	 	Nevėžis
	1 : 3	
Panevėžys	Kėdainių centrinis stadionas","Nevėžis","Panevėžys"
69,"2021-09-11, 15:00","Džiugas","2 : 3","Džiugas","2021-09-11, 15:00	 	Džiugas
	2 : 3	
Sūduva	Telšių m. centrinis stadionas","Džiugas","Sūduva"
70,"2021-09-10, 18:00","Riteriai","0 : 0","Hegelmann","2021-09-10, 18:00	 	Riteriai
	0 : 0	
Hegelmann	LFF stadionas","Riteriai","Hegelmann"
71,,,,,"25 turas",,
72,"2021-08-29, 19:00","Žalgiris","2 : 4","Žalgiris","2021-08-29, 19:00	 	Dainava
	2 : 4	
Žalgiris	Alytaus m. stadionas","Dainava","Žalgiris"
73,"2021-08-29, 17:00","Panevėžys","0 : 2","Riteriai","2021-08-29, 17:00	 	Panevėžys
	0 : 2	
Riteriai	„Aukštaitijos“ stadionas","Panevėžys","Riteriai"
74,"2021-08-28, 17:00","Nevėžis","0 : 3","Banga","2021-08-28, 17:00	 	Nevėžis
	0 : 3	
Banga	Kėdainių centrinis stadionas","Nevėžis","Banga"
75,"2021-08-27, 18:00","Sūduva","1 : 2","Hegelmann","2021-08-27, 18:00	 	Sūduva
	1 : 2	
Hegelmann	Marijampolės futbolo arenos stadionas","Sūduva","Hegelmann"
76,,,,,"29 turas",,
77,"2021-08-25, 18:00","Panevėžys","4 : 0","K. Žalgiris","2021-08-25, 18:00	 	Panevėžys
	4 : 0	
K. Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","K. Žalgiris"
78,,,,,"24 turas",,
