"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
50,"2022-10-01, 17:00","Hegelmann","2 : 1","Šiauliai","2022-10-01, 17:00	 	Hegelmann
	2 : 1	
Šiauliai	LFF Kauno treniruočių centro st.","Hegelmann","Šiauliai"
51,"2022-10-01, 15:00","Jonava","0 : 1","Džiugas","2022-10-01, 15:00	 	Jonava
	0 : 1	
Džiugas	Jonavos m. stadionas","Jonava","Džiugas"
52,,,,,"20 turas",,
53,"2022-09-27, 19:00","Žalgiris","1 : 0","Sūduva","2022-09-27, 19:00	 	Žalgiris
	1 : 0	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
54,,,,,"30 turas",,
55,"2022-09-18, 19:00","Žalgiris","3 : 1","Riteriai","2022-09-18, 19:00	 	Žalgiris
	3 : 1	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
56,"2022-09-18, 17:55","Sūduva","2 : 0","Banga","2022-09-18, 17:55	 	Sūduva
	2 : 0	
Banga	Marijampolės futbolo arenos stadionas","Banga","Banga"
57,"2022-09-17, 19:00","Šiauliai","1 : 0","Panevėžys","2022-09-17, 19:00	 	Šiauliai
	1 : 0	
Panevėžys	Šiaulių sav. stadionas","Šiauliai","Panevėžys"
58,"2022-09-17, 15:00","Džiugas","0 : 1","Hegelmann","2022-09-17, 15:00	 	Džiugas
	0 : 1	
Hegelmann	Telšių m. centrinis stadionas","Džiugas","Hegelmann"
59,"2022-09-16, 18:00","K. Žalgiris","2 : 1","K. Žalgiris","2022-09-16, 18:00	 	K. Žalgiris
	2 : 1	
Jonava	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Jonava"
60,,,,,"27 turas",,
61,"2022-09-11, 19:00","Šiauliai","1 : 1","Banga","2022-09-11, 19:00	 	Šiauliai
	1 : 1	
Banga	Šiaulių sav. stadionas","Banga","Banga"
62,"2022-09-11, 17:55","Riteriai","0 : 0","Hegelmann","2022-09-11, 17:55	 	Riteriai
	0 : 0	
Hegelmann	LFF stadionas","Riteriai","Hegelmann"
63,"2022-09-11, 15:00","Žalgiris","0 : 2","K. Žalgiris","2022-09-11, 15:00	 	K. Žalgiris
	0 : 2	
Žalgiris	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Žalgiris"
64,"2022-09-10, 17:00","Jonava","1 : 1","Panevėžys","2022-09-10, 17:00	 	Jonava
	1 : 1	
Panevėžys	Jonavos m. stadionas","Jonava","Panevėžys"
65,"2022-09-10, 15:00","Džiugas","2 : 1","Sūduva","2022-09-10, 15:00	 	Džiugas
	2 : 1	
Sūduva	Telšių m. centrinis stadionas","Džiugas","Sūduva"
66,,,,,"26 turas",,
67,"2022-09-07, 20:00","Panevėžys","0 : 1","Riteriai","2022-09-07, 20:00	 	Panevėžys
	0 : 1	
Riteriai	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
68,"2022-09-07, 19:00","Jonava","0 : 5","Banga","2022-09-07, 19:00	 	Jonava
	0 : 5	
Banga	Jonavos m. stadionas","Banga","Banga"
69,"2022-09-07, 18:00","K. Žalgiris","5 : 1","K. Žalgiris","2022-09-07, 18:00	 	K. Žalgiris
	5 : 1	
Džiugas	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Džiugas"
70,"2022-09-06, 20:00","Sūduva","2 : 1","Hegelmann","2022-09-06, 20:00	 	Sūduva
	2 : 1	
Hegelmann	Marijampolės futbolo arenos stadionas","Sūduva","Hegelmann"
71,,,,,"25 turas",,
72,"2022-09-04, 17:55","Banga","0 : 1","K. Žalgiris","2022-09-04, 17:55	 	Banga
	0 : 1	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
73,"2022-09-03, 17:00","Riteriai","2 : 1","Jonava","2022-09-03, 17:00	 	Riteriai
	2 : 1	
Jonava	LFF stadionas","Riteriai","Jonava"
74,"2022-09-03, 15:00","Žalgiris","1 : 1","Žalgiris","2022-09-03, 15:00	 	Džiugas
	1 : 1	
Žalgiris	Telšių m. centrinis stadionas","Džiugas","Žalgiris"
75,"2022-09-02, 18:00","Hegelmann","1 : 1","Panevėžys","2022-09-02, 18:00	 	Hegelmann
	1 : 1	
Panevėžys	LFF Kauno treniruočių centro st.","Hegelmann","Panevėžys"
76,,,,,"24 turas",,
